Cidades,feijao_2011,feijao_2012,feijao_2013,feijao_2014,feijao_2015,feijao_2016,feijao_2017,feijao_2018,feijao_2019
Açailândia,305,285,276,239,129,133,175,185,182
Afonso Cunha,75,68,58,64,68,63,60,53,60
Água Doce do Maranhão,460,867,800,450,400,420,115,40,35
Alcântara,155,165,175,120,110,100,110,117,101
Aldeias Altas,379,322,290,263,244,93,90,83,90
Altamira do Maranhão,420,425,450,440,365,615,350,175,206
Alto Alegre do Maranhão,490,475,497,490,50,57,61,70,92
Alto Alegre do Pindaré,522,504,476,445,385,358,358,180,165
Alto Parnaíba,954,1255,1339,1099,1017,1309,1237,1710,1232
Amapá do Maranhão,252,242,305,101,202,207,82,70,63
Amarante do Maranhão,242,276,307,367,253,278,175,170,190
Anajatuba,266,274,236,62,55,45,52,15,15
Anapurus,750,550,600,580,470,330,550,355,281
0,12,11,13,12,10,8,9,8,7
Araguanã,295,286,273,278,209,187,176,130,126
Araioses,1475,2640,2700,2150,1640,1630,549,298,285
Arame,635,475,436,425,321,336,340,235,295
Arari,190,173,156,120,100,140,220,55,50
Axixá,25,30,32,30,29,30,25,20,17
Bacabal,1988,2070,2210,2436,820,540,380,420,447
Bacabeira,50,56,59,36,50,45,47,30,28
Bacuri,33,30,33,30,25,23,20,18,16
Bacurituba,33,30,31,28,23,20,17,19,15
Balsas,1994,4072,5066,4330,4130,7761,5516,5810,5700
Barão de Grajaú,258,270,325,295,256,260,238,247,206
Barra do Corda,2496,2590,2699,2747,2565,2760,2772,600,696
Barreirinhas,550,660,645,395,396,350,360,295,282
Belágua,550,480,520,580,500,400,362,186,137
Bela Vista do Maranhão,195,195,210,198,173,170,173,104,88
Benedito Leite,290,230,310,300,241,212,205,190,638
Bequimão,443,459,428,385,343,227,192,186,120
Bernardo do Mearim,258,266,275,280,281,271,273,273,165
Boa Vista do Gurupi,195,200,199,62,204,185,91,50,37
Bom Jardim,660,631,622,621,597,646,642,564,479
Bom Jesus das Selvas,440,446,459,57,70,78,84,75,65
Bom Lugar,570,570,560,555,330,285,350,315,282
Brejo,850,830,870,900,650,330,380,180,169
Brejo de Areia,889,890,920,915,890,165,180,177,180
Buriti,760,700,760,800,500,360,430,340,295
Buriti Bravo,600,650,578,547,440,480,585,690,750
Buriticupu,1110,1038,1072,1649,1144,1080,1010,499,436
Buritirana,115,130,131,117,85,56,61,94,110
Cachoeira Grande,23,28,30,30,26,30,28,31,26
Cajapió,3,2,2,2,2,12,15,8,7
Cajari,15,18,16,10,10,20,25,7,5
Campestre do Maranhão,50,75,65,57,48,26,35,29,19
Cândido Mendes,510,503,507,225,450,450,360,20,25
Cantanhede,1372,1382,1377,1025,987,1040,1054,281,276
Capinzal do Norte,189,190,197,203,200,187,190,192,196
Carolina,344,227,252,248,229,295,295,241,238
Carutapera,310,300,304,208,250,250,260,18,23
Caxias,2427,1976,1540,1280,1010,920,873,640,640
Cedral,67,81,77,73,67,48,44,39,26
Central do Maranhão,178,156,162,153,134,89,75,70,41
Centro do Guilherme,320,318,423,265,265,265,246,146,150
Centro Novo do Maranhão,385,384,381,335,335,335,334,180,175
Chapadinha,900,850,890,950,910,550,600,248,327
Cidelândia,48,45,62,48,39,37,34,36,35
Codó,540,460,465,450,420,414,390,340,360
Coelho Neto,239,205,180,172,160,155,148,95,95
Colinas,980,890,915,820,842,867,900,860,574
0,275,280,294,324,245,228,254,241,250
Coroatá,528,450,405,380,363,350,340,310,325
Cururupu,31,34,39,38,32,25,23,22,20
Davinópolis,41,47,43,39,29,57,40,41,41
Dom Pedro,215,160,170,165,122,158,149,136,105
Duque Bacelar,44,38,42,48,40,54,56,60,60
Esperantinópolis,339,343,351,357,351,336,340,343,348
Estreito,122,92,90,63,53,39,65,74,71
Feira Nova do Maranhão,116,132,142,141,131,241,255,276,276
Fernando Falcão,487,431,419,455,430,385,415,170,191
Formosa da Serra Negra,107,130,155,155,150,165,150,175,162
Fortaleza dos Nogueiras,158,176,191,190,145,135,125,115,102
Fortuna,900,860,650,300,300,315,328,308,216
Godofredo Viana,243,227,239,144,205,205,25,16,18
Gonçalves Dias,480,480,797,530,280,308,410,402,312
Governador Archer,530,530,742,535,170,161,165,171,134
Governador Edison Lobão,38,42,38,36,28,25,27,27,24
Governador Eugênio Barros,450,475,523,595,410,336,320,309,209
Governador Luiz Rocha,308,318,243,320,76,225,235,239,165
Governador Newton Bello,295,282,281,271,217,190,170,194,160
Governador Nunes Freire,279,278,265,225,225,225,205,208,100
Graça Aranha,245,225,231,150,155,170,161,151,105
Grajaú,915,1193,1128,1170,870,820,720,900,853
Guimarães,85,68,72,67,57,50,44,39,31
Humberto de Campos,130,156,180,60,59,65,70,18,20
Icatu,35,45,45,40,39,37,35,17,18
Igarapé do Meio,130,139,155,157,131,118,124,116,95
Igarapé Grande,298,302,323,329,305,294,297,91,96
Imperatriz,76,82,71,67,56,76,77,80,88
Itaipava do Grajaú,847,706,629,473,333,370,385,115,118
Itapecuru Mirim,459,474,477,361,285,290,297,327,328
Itinga do Maranhão,76,88,92,84,61,66,77,91,88
Jatobá,574,508,553,580,538,586,612,583,382
Jenipapo dos Vieiras,885,643,653,580,490,440,460,215,211
João Lisboa,48,55,48,62,55,60,54,58,44
Joselândia,173,193,192,111,113,108,110,113,108
Junco do Maranhão,191,180,193,152,152,152,99,80,44
Lago da Pedra,1160,1260,1360,1435,810,910,865,680,575
Lago do Junco,235,243,249,302,282,268,272,97,100
Lago Verde,400,422,430,444,330,288,308,187,193
Lagoa do Mato,200,240,100,125,130,125,135,143,133
Lago dos Rodrigues,194,197,210,216,211,202,205,208,213
Lagoa Grande do Maranhão,610,625,635,625,110,145,100,97,103
Lajeado Novo,27,22,21,19,17,11,8,16,12
Lima Campos,102,108,121,122,120,108,111,114,117
Loreto,329,955,1047,992,941,1279,1158,1280,1137
Luís Domingues,135,140,134,112,112,112,102,10,15
Magalhães de Almeida,520,760,780,500,450,480,500,434,410
Maracaçumé,387,388,368,244,348,348,248,131,90
Marajá do Sena,750,765,694,624,200,260,70,70,77
Maranhãozinho,510,525,485,475,475,475,135,304,190
Mata Roma,600,500,540,600,500,280,430,171,143
Matinha,12,10,9,6,6,50,80,10,12
Matões,940,922,850,709,550,794,1000,960,916
Matões do Norte,402,411,410,417,245,422,427,235,239
Milagres do Maranhão,800,700,690,730,350,230,290,340,315
Mirador,329,336,371,480,468,494,478,461,615
Miranda do Norte,346,356,360,300,300,310,316,202,195
Mirinzal,72,71,81,74,72,51,46,40,28
Monção,730,698,656,603,525,504,450,235,192
Montes Altos,55,52,47,43,34,52,96,148,120
Morros,35,44,50,40,47,50,55,40,35
Nina Rodrigues,259,271,275,130,160,175,178,5,7
Nova Colinas,240,110,146,141,131,212,182,133,136
Nova Iorque,235,250,265,250,181,205,120,116,125
Nova Olinda do Maranhão,415,400,397,347,347,347,335,215,172
Olho d'Água das Cunhãs,860,865,880,920,690,290,310,180,171
Olinda Nova do Maranhão,12,10,9,6,5,20,20,15,10
Paço do Lumiar,26,30,28,25,23,20,17,11,9
Palmeirândia,344,295,274,250,192,127,104,99,72
Paraibano,370,340,400,389,316,315,220,220,218
Parnarama,790,780,830,860,1060,990,1045,960,930
Passagem Franca,244,320,331,325,265,377,405,375,259
Pastos Bons,390,355,376,380,330,360,328,257,236
Paulino Neves,420,945,915,300,280,290,157,86,69
Paulo Ramos,635,630,653,762,610,460,200,206,216
Pedreiras,168,178,202,206,213,202,205,134,113
Pedro do Rosário,10,8,7,5,4,15,20,18,16
Penalva,8,6,5,4,4,100,80,15,12
Peri Mirim,87,78,86,80,32,29,26,23,18
Peritoró,191,169,150,162,153,152,144,108,115
0,185,187,203,67,79,79,85,73,60
Pinheiro,224,195,186,174,134,99,82,76,72
Pio XII,440,445,478,560,445,320,130,134,140
Pirapemas,925,935,932,824,847,855,867,103,103
Poção de Pedras,678,729,745,642,510,478,480,200,169
Porto Franco,72,91,82,74,65,28,33,35,32
Porto Rico do Maranhão,51,46,47,43,36,25,23,26,17
Presidente Dutra,371,400,430,450,427,427,430,368,333
Presidente Juscelino,20,25,30,15,13,15,16,8,9
Presidente Médici,175,163,167,85,130,130,84,75,55
Presidente Sarney,187,162,151,140,90,58,50,50,46
Presidente Vargas,95,107,113,112,101,106,115,7,9
Primeira Cruz,60,72,79,58,55,35,50,18,16
Raposa,0,0,0,0,0,0,0,0,0
Riachão,632,1265,1495,1070,1006,1366,1576,1953,1795
Ribamar Fiquene,41,33,28,26,23,22,24,26,23
Rosário,280,308,325,33,34,40,43,20,22
Sambaíba,99,709,790,751,711,983,895,978,940
Santa Filomena do Maranhão,599,500,473,495,120,137,144,132,91
Santa Helena,103,93,89,83,75,61,52,58,52
Santa Inês,189,179,191,196,178,153,144,119,96
Santa Luzia,2300,2230,2178,2129,1954,1896,1806,903,783
Santa Luzia do Paruá,335,325,322,262,262,262,236,180,60
Santa Quitéria do Maranhão,930,1560,1640,1000,850,825,880,507,424
Santa Rita,150,172,175,185,183,153,80,18,20
Santana do Maranhão,560,1330,1150,900,600,575,600,525,453
Santo Amaro do Maranhão,40,50,50,48,47,48,50,8,7
Santo Antônio dos Lopes,158,163,177,198,195,185,188,191,167
São Benedito do Rio Preto,550,460,490,530,400,270,300,158,140
São Bento,118,104,97,20,17,15,13,15,12
São Bernardo,765,2430,2600,1300,1000,955,695,465,373
São Domingos do Azeitão,810,280,2050,1550,1335,1360,1275,1132,306
São Domingos do Maranhão,1250,1300,635,1715,1801,1050,1200,1088,783
São Félix de Balsas,235,260,295,291,234,220,175,177,175
São Francisco do Brejão,44,40,38,39,29,26,31,28,24
São Francisco do Maranhão,290,265,360,356,290,300,237,230,224
São João Batista,13,10,9,6,6,15,20,8,6
São João do Carú,530,511,493,485,416,394,361,179,152
São João do Paraíso,62,67,55,51,45,17,12,26,19
São João do Soter,192,163,154,151,143,135,135,110,125
São João dos Patos,350,350,350,352,288,350,304,291,263
São José de Ribamar,15,18,19,16,13,11,10,6,5
São José dos Basílios,418,410,410,83,89,99,93,97,84
São Luís,94,95,105,70,63,60,16,12,9
São Luís Gonzaga do Maranhão,725,720,760,862,370,405,180,183,188
São Mateus do Maranhão,480,490,530,584,360,460,104,98,98
São Pedro da Água Branca,16,18,21,20,18,24,25,45,90
São Pedro dos Crentes,73,85,103,102,75,80,37,30,33
São Raimundo das Mangabeiras,330,218,217,210,195,330,305,343,309
São Raimundo do Doca Bezerra,221,224,234,238,220,203,99,27,27
São Roberto,103,107,123,137,135,129,132,135,133
São Vicente Ferrer,6,5,5,4,4,25,40,15,12
Satubinha,320,315,320,323,235,298,130,141,136
Senador Alexandre Costa,423,485,501,520,340,350,375,350,324
Senador La Rocque,50,75,52,47,26,31,32,26,28
Serrano do Maranhão,30,27,29,26,22,19,17,15,13
Sítio Novo,176,145,171,165,170,155,130,330,308
Sucupira do Norte,260,270,300,292,251,250,200,174,188
Sucupira do Riachão,205,195,260,262,227,240,105,107,100
Tasso Fragoso,125,198,202,199,184,751,766,812,791
Timbiras,182,153,155,170,163,155,145,130,130
Timon,860,970,970,828,1010,1160,1400,985,930
Trizidela do Vale,145,135,147,203,180,173,159,93,82
Tufilândia,88,84,87,87,71,66,70,48,40
Tuntum,1220,1160,1085,1130,1172,1237,1302,1310,872
Turiaçu,151,134,132,121,110,71,63,63,58
Turilândia,499,428,410,286,253,175,145,138,124
Tutóia,1120,2525,2420,1100,900,835,860,825,667
Urbano Santos,600,500,550,630,770,530,580,432,354
Vargem Grande,551,561,562,433,420,440,452,30,30
Viana,7,5,6,4,8,23,35,37,35
Vila Nova dos Martírios,47,113,70,52,46,50,54,94,94
Vitória do Mearim,40,36,32,25,25,25,35,9,10
Vitorino Freire,1080,1070,1090,1188,370,370,322,275,258
Zé Doca,890,830,809,780,649,602,552,323,276
